refDes,stage,instrument,zarrFile,nearestNeighbors,dataParameters,depths,depthMinMax,decimationAlgo
RS01SBPS-PC01A-07-CAMDSC102,3,CAMDS-FIXED,,,4,,,
CE02SHBP-MJ01C-08-CAMDSB107,3,CAMDS-FIXED,,,10,,,
CE04OSBP-LV01C-06-CAMDSB106,3,CAMDS-FIXED,,,10,,,
RS01SUM2-MJ01B-05-CAMDSB103,3,CAMDS-FIXED,,,10,,,
RS03AXPS-PC03A-07-CAMDSC302,3,CAMDS-FIXED,,,4,,,
RS03INT1-MJ03C-05-CAMDSB303,3,CAMDS-FIXED,,,10,,,
RS03ASHS-PN03B-06-CAMHDA301,3,CAMHD-FIXED,,,10000,,,
CE02SHBP-LJ01D-11-HYDBBA106,9,HYDBB-FIXED,,,,,,
CE04OSBP-LJ01C-11-HYDBBA105,9,HYDBB-FIXED,,,,,,
RS01SBPS-PC01A-08-HYDBBA103,9,HYDBB-FIXED,,,,,,
RS01SLBS-LJ01A-09-HYDBBA102,9,HYDBB-FIXED,,,,,,
RS03AXBS-LJ03A-09-HYDBBA302,9,HYDBB-FIXED,,,,,,
RS03AXPS-PC03A-08-HYDBBA303,9,HYDBB-FIXED,,,,,,
RS01SLBS-MJ01A-05-HYDLFA101,9,HYDLF-FIXED,,,,,,
RS01SUM1-LJ01B-05-HYDLFA104,9,HYDLF-FIXED,,,,,,
RS03AXBS-MJ03A-05-HYDLFA301,9,HYDLF-FIXED,,,,,,
RS03CCAL-MJ03F-06-HYDLFA305,9,HYDLF-FIXED,,,,,,
RS03ECAL-MJ03E-09-HYDLFA304,9,HYDLF-FIXED,,,,,,
RS01SLBS-MJ01A-05-OBSBBA102,9,OBSBB-FIXED,,,,,,
RS01SUM1-LJ01B-05-OBSBBA101,9,OBSBB-FIXED,,,,,,
RS03AXBS-MJ03A-05-OBSBBA303,9,OBSBB-FIXED,,,,,,
RS03CCAL-MJ03F-06-OBSBBA301,9,OBSBB-FIXED,,,,,,
RS03ECAL-MJ03E-09-OBSBBA302,9,OBSBB-FIXED,,,,,,
RS01SUM1-LJ01B-06-OBSSPA103,9,OBSSP-FIXED,,,,,,
RS01SUM1-LJ01B-07-OBSSPA102,9,OBSSP-FIXED,,,,,,
RS01SUM1-LJ01B-08-OBSSPA101,9,OBSSP-FIXED,,,,,,
RS03ASHS-MJ03B-05-OBSSPA302,9,OBSSP-FIXED,,,,,,
RS03ASHS-MJ03B-06-OBSSPA301,9,OBSSP-FIXED,,,,,,
RS03ECAL-MJ03E-05-OBSSPA303,9,OBSSP-FIXED,,,,,,
RS03ECAL-MJ03E-08-OBSSPA304,9,OBSSP-FIXED,,,,,,
RS03INT2-MJ03D-05-OBSSPA305,9,OBSSP-FIXED,,,,,,
